------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1      2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
  bin.95              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.92              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.88              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.87              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.86              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.85              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.84              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.68              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.124             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.123             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.122             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.121             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.119             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.118             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.117             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.116             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.115             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.114             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.113             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.112             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.110             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.109             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.108             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.107             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.104             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.103             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.101             root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
